(0,[(10, -49.5, 1.57, -10),(-49.5, 5, 0, -10.0)],(0,'',''))
(0.05,[(10, -49.0, 1.57, -10),(-49.0, 5, 0, -10.0)],(0,'',''))
(0.1,[(10, -48.5, 1.57, -10),(-48.5, 5, 0, -10.0)],(0,'',''))
(0.15,[(10, -48.0, 1.57, -10),(-48.0, 5, 0, -10.0)],(0,'',''))
(0.2,[(10, -47.5, 1.57, -10),(-47.5, 5, 0, -10.0)],(0,'',''))
(0.25,[(10, -47.0, 1.57, -10),(-47.0, 5, 0, -10.0)],(0,'',''))
(0.3,[(10, -46.5, 1.57, -10),(-46.5, 5, 0, -10.0)],(0,'',''))
(0.35,[(10, -46.0, 1.57, -10),(-46.0, 5, 0, -10.0)],(0,'',''))
(0.4,[(10, -45.5, 1.57, -10),(-45.5, 5, 0, -10.0)],(0,'',''))
(0.45,[(10, -45.0, 1.57, -10),(-45.0, 5, 0, -10.0)],(0,'',''))
(0.5,[(10, -44.5, 1.57, -10),(-44.5, 5, 0, -10.0)],(0,'',''))
(0.55,[(10, -44.0, 1.57, -10),(-44.0, 5, 0, -10.0)],(0,'',''))
(0.6,[(10, -43.5, 1.57, -10),(-43.5, 5, 0, -10.0)],(0,'',''))
(0.65,[(10, -43.0, 1.57, -10),(-43.0, 5, 0, -10.0)],(0,'',''))
(0.7,[(10, -42.5, 1.57, -10),(-42.5, 5, 0, -10.0)],(0,'',''))
(0.75,[(10, -42.0, 1.57, -10),(-42.0, 5, 0, -10.0)],(0,'',''))
(0.8,[(10, -41.5, 1.57, -10),(-41.5, 5, 0, -10.0)],(0,'',''))
(0.85,[(10, -41.0, 1.57, -10),(-41.0, 5, 0, -10.0)],(0,'',''))
(0.9,[(10, -40.5, 1.57, -10),(-40.5, 5, 0, -10.0)],(0,'',''))
(0.95,[(10, -40.0, 1.57, -10),(-40.0, 5, 0, -10.0)],(0,'',''))
(1.0,[(10, -39.5, 1.57, -10.0),(-39.5, 5, 0, -10.0)],(0,'',''))
(1.05,[(10, -39.0, 1.57, -10.0),(-39.0, 5, 0, -10.0)],(0,'',''))
(1.1,[(10, -38.5, 1.57, -10.0),(-38.5, 5, 0, -10.0)],(0,'',''))
(1.15,[(10, -38.0, 1.57, -10.0),(-38.0, 5, 0, -10.0)],(0,'',''))
(1.2,[(10, -37.5, 1.57, -10.0),(-37.5, 5, 0, -10.0)],(0,'',''))
(1.25,[(10, -37.0, 1.57, -10.0),(-37.0, 5, 0, -10.0)],(0,'',''))
(1.3,[(10, -36.5, 1.57, -10.0),(-36.5, 5, 0, -10.0)],(0,'',''))
(1.35,[(10, -36.0, 1.57, -10.0),(-36.0, 5, 0, -10.0)],(0,'',''))
(1.4,[(10, -35.5, 1.57, -10.0),(-35.5, 5, 0, -10.0)],(0,'',''))
(1.45,[(10, -35.0, 1.57, -10.0),(-35.0, 5, 0, -10.0)],(0,'',''))
(1.5,[(10, -34.5, 1.57, -10.0),(-34.5, 5, 0, -10.0)],(0,'',''))
(1.55,[(10, -34.0, 1.57, -10.0),(-34.0, 5, 0, -10.0)],(0,'',''))
(1.6,[(10, -33.5, 1.57, -10.0),(-33.5, 5, 0, -10.0)],(0,'',''))
(1.65,[(10, -33.0, 1.57, -10.0),(-33.0, 5, 0, -10.0)],(0,'',''))
(1.7,[(10, -32.5, 1.57, -10.0),(-32.5, 5, 0, -10.0)],(0,'',''))
(1.75,[(10, -32.0, 1.57, -10.0),(-32.0, 5, 0, -10.0)],(0,'',''))
(1.8,[(10, -31.5, 1.57, -10.0),(-31.5, 5, 0, -10.0)],(0,'',''))
(1.85,[(10, -31.0, 1.57, -10.0),(-31.0, 5, 0, -10.0)],(0,'',''))
(1.9,[(10, -30.5, 1.57, -10.0),(-30.5, 5, 0, -10.0)],(0,'',''))
(1.95,[(10, -30.0, 1.57, -10.0),(-30.0, 5, 0, -10.0)],(0,'',''))
(2.0,[(10, -29.5, 1.57, -10.0),(-29.5, 5, 0, -10.0)],(0,'',''))
(2.05,[(10, -29.0, 1.57, -10.0),(-29.0, 5, 0, -10.0)],(0,'',''))
(2.1,[(10, -28.5, 1.57, -10.0),(-28.5, 5, 0, -10.0)],(0,'',''))
(2.15,[(10, -28.0, 1.57, -10.0),(-28.0, 5, 0, -10.0)],(0,'',''))
(2.2,[(10, -27.5, 1.57, -10.0),(-27.5, 5, 0, -10.0)],(0,'',''))
(2.25,[(10, -27.0, 1.57, -10.0),(-27.0, 5, 0, -10.0)],(0,'',''))
(2.3,[(10, -26.5, 1.57, -10.0),(-26.5, 5, 0, -10.0)],(0,'',''))
(2.35,[(10, -26.0, 1.57, -10.0),(-26.0, 5, 0, -10.0)],(0,'',''))
(2.4,[(10, -25.5, 1.57, -10.0),(-25.5, 5, 0, -10.0)],(0,'',''))
(2.45,[(10, -25.0, 1.57, -10.0),(-25.0, 5, 0, -10.0)],(0,'',''))
(2.5,[(10, -24.5, 1.57, -10.0),(-24.5, 5, 0, -10.0)],(0,'',''))
(2.55,[(10, -24.0, 1.57, -10.0),(-24.0, 5, 0, -10.0)],(0,'',''))
(2.6,[(10, -23.5, 1.57, -10.0),(-23.5, 5, 0, -10.0)],(0,'',''))
(2.65,[(10, -23.0, 1.57, -10.0),(-23.0, 5, 0, -10.0)],(0,'',''))
(2.7,[(10, -22.5, 1.57, -10.0),(-22.5, 5, 0, -10.0)],(0,'',''))
(2.75,[(10, -22.0, 1.57, -10.0),(-22.0, 5, 0, -10.0)],(0,'',''))
(2.8,[(10, -21.5, 1.57, -10.0),(-21.5, 5, 0, -10.0)],(0,'',''))
(2.85,[(10, -21.0, 1.57, -10.0),(-21.0, 5, 0, -10.0)],(0,'',''))
